Año;Código;Universidad;Rama;Grado en;Centro;Nota general;Titulados;Mayor 25;Mayor 40;Mayor 45
2013 ;202515;CÁDIZ;SD;ENFERMERÍA ;FACULTAD DE ENFERMERÍA  (ALGECIRAS);9,178;7,520;6,970 -OPR AN;15,833;5,000
2013 ;202500;CÁDIZ;SD;ENFERMERÍA ;FACULTAD DE ENFERMERÍA Y FISIOTERAPIA;10,144;7,390;7,298 -OPR AN;21,498;7,100
2013 ;202534;CÁDIZ;SD;ENFERMERÍA ;FACULTAD DE ENFERMERÍA Y FISIOTERAPIA (JEREZ);9,860;7,620;7,375 -OPR AN;24,500;6,000
2013 ;297001;CÁDIZ;C;ENOLOGÍA ;FACULTAD DE CIENCIAS;5,000;6,410;6,753 -ONP NA;5,000;5,000
2013 ;231503;CÁDIZ;AYH;ESTUDIOS ÁRABES E ISLÁMICOS ;FACULTAD DE FILOSOFÍA Y LETRAS;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;231600;CÁDIZ;AYH;ESTUDIOS ÁRABES E ISLÁMICOS+ESTUDIOS INGLESES ;FACULTAD DE FILOSOFÍA Y LETRAS;5,501;5,000;5,000 -ONP NA;5,000;5,000
2013 ;233004;CÁDIZ;AYH;ESTUDIOS FRANCESES ;FACULTAD DE FILOSOFÍA Y LETRAS;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;233101;CÁDIZ;AYH;ESTUDIOS FRANCESES+ESTUDIOS INGLESES ;FACULTAD DE FILOSOFÍA Y LETRAS;11,469;7,480;5,000 -ONP NA;5,000;5,000
2013 ;234504;CÁDIZ;AYH;ESTUDIOS INGLESES ;FACULTAD DE FILOSOFÍA Y LETRAS;6,767;7,150;5,417 -OPR AN;5,000;5,000
2013 ;232000;CÁDIZ;AYH;FILOLOGÍA CLÁSICA ;FACULTAD DE FILOSOFÍA Y LETRAS;5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;232108;CÁDIZ;AYH;FILOLOGÍA CLÁSICA+ESTUDIOS INGLESES ;FACULTAD DE FILOSOFÍA Y LETRAS;5,840;5,000;6,771 -OPR AN;5,000;5,000
2013 ;234008;CÁDIZ;AYH;FILOLOGÍA HISPÁNICA ;FACULTAD DE FILOSOFÍA Y LETRAS;5,000;5,000;6,938 -OPR AN;5,000;5,000
2013 ;234105;CÁDIZ;AYH;FILOLOGÍA HISPÁNICA+ESTUDIOS INGLESES ;FACULTAD DE FILOSOFÍA Y LETRAS;9,211;7,020;5,000 -ONP NA;5,000;5,000
2013 ;202004;CÁDIZ;SYJ;FINANZAS Y CONTABILIDAD ;FACULTAD DE CIENCIAS ECONÓMICAS Y EMPRESARIALES;5,000;7,660;5,000 -ONP NA;5,000;5,000
2013 ;203504;CÁDIZ;SD;FISIOTERAPIA ;FACULTAD DE ENFERMERÍA Y FISIOTERAPIA;10,647;8,400;7,754 -OPR AN;5,000;5,000
2013 ;204016;CÁDIZ;SYJ;GESTIÓN Y ADMINISTRACIÓN PÚBLICA ;FACULTAD DE CIENCIAS SOCIALES Y DE LA COMUNICACIÓN (JEREZ);5,000;5,000;5,000 -ONP NA;5,000;5,000
2013 ;237505;CÁDIZ;AYH;HISTORIA ;FACULTAD DE FILOSOFÍA Y LETRAS;5,364;7,940;5,000 -ONP NA;5,000;5,000
2013 ;238509;CÁDIZ;AYH;HUMANIDADES ;FACULTAD DE FILOSOFÍA Y LETRAS;5,000;5,000;5,000 -ONP NA;5,000;5,000
